Technology,t,LCOS
HD Hydro L,0.1,3954.34
HD Hydro L,0.2,2029.42
HD Hydro L,0.3,1387.79
HD Hydro L,0.4,1066.97
HD Hydro L,0.5,874.47
HD Hydro L,0.6,746.15
HD Hydro L,0.7,654.48
HD Hydro L,0.8,585.74
HD Hydro L,0.9,532.27
HD Hydro L,1.0,489.49
HD Hydro L,1.1,454.49
HD Hydro L,1.2,425.33
HD Hydro L,1.3,400.65
HD Hydro L,1.4,379.5
HD Hydro L,1.5,361.16
HD Hydro L,1.6,345.12
HD Hydro L,1.7,330.97
HD Hydro L,1.8,318.39
HD Hydro L,1.9,307.13
HD Hydro L,2.0,297.0
HD Hydro L,2.1,287.83
HD Hydro L,2.2,279.5
HD Hydro L,2.3,271.89
HD Hydro L,2.4,264.92
HD Hydro L,2.5,258.5
HD Hydro L,2.6,252.58
HD Hydro L,2.7,247.1
HD Hydro L,2.8,242.0
HD Hydro L,2.9,237.26
HD Hydro L,3.0,232.84
HD Hydro L,3.1,228.7
HD Hydro L,3.2,224.82
HD Hydro L,3.3,221.17
HD Hydro L,3.4,217.74
HD Hydro L,3.5,214.5
HD Hydro L,3.6,211.45
HD Hydro L,3.7,208.56
HD Hydro L,3.8,205.82
HD Hydro L,3.9,203.22
HD Hydro L,4.0,200.76
HD Hydro L,4.1,198.41
HD Hydro L,4.2,196.17
HD Hydro L,4.3,194.04
HD Hydro L,4.4,192.01
HD Hydro L,4.5,190.06
HD Hydro L,4.6,188.2
HD Hydro L,4.7,186.42
HD Hydro L,4.8,184.71
HD Hydro L,4.9,183.08
HD Hydro L,5.0,181.51
HD Hydro L,5.1,180.0
HD Hydro L,5.2,178.55
HD Hydro L,5.3,177.15
HD Hydro L,5.4,175.8
HD Hydro L,5.5,174.51
HD Hydro L,5.6,173.26
HD Hydro L,5.7,172.05
HD Hydro L,5.8,170.89
HD Hydro L,5.9,169.76
HD Hydro L,6.0,168.67
HD Hydro L,6.1,167.62
HD Hydro L,6.2,166.6
HD Hydro L,6.3,165.62
HD Hydro L,6.4,164.66
HD Hydro L,6.5,163.74
HD Hydro L,6.6,162.84
HD Hydro L,6.7,161.97
HD Hydro L,6.8,161.13
HD Hydro L,6.9,160.3
HD Hydro L,7.0,159.51
HD Hydro L,7.1,158.73
HD Hydro L,7.2,157.98
HD Hydro L,7.3,157.25
HD Hydro L,7.4,156.53
HD Hydro L,7.5,155.84
HD Hydro L,7.6,155.17
HD Hydro L,7.7,154.51
HD Hydro L,7.8,153.87
HD Hydro L,7.9,153.24
HD Hydro L,8.0,152.63
HD Hydro L,8.1,152.04
HD Hydro L,8.2,151.46
HD Hydro L,8.3,150.89
HD Hydro L,8.4,150.34
HD Hydro L,8.5,149.8
HD Hydro L,8.6,149.28
HD Hydro L,8.7,148.76
HD Hydro L,8.8,148.26
HD Hydro L,8.9,147.77
HD Hydro L,9.0,147.29
HD Hydro L,9.1,146.82
HD Hydro L,9.2,146.36
HD Hydro L,9.3,145.91
HD Hydro L,9.4,145.47
HD Hydro L,9.5,145.03
HD Hydro L,9.6,144.61
HD Hydro L,9.7,144.2
HD Hydro L,9.8,143.79
HD Hydro L,9.9,143.4
HD Hydro L,10.0,143.01
HD Hydro L,10.1,142.63
HD Hydro L,10.2,142.25
HD Hydro L,10.3,141.89
HD Hydro L,10.4,141.53
HD Hydro L,10.5,141.17
HD Hydro L,10.6,140.83
HD Hydro L,10.7,140.49
HD Hydro L,10.8,140.16
HD Hydro L,10.9,139.83
HD Hydro L,11.0,139.51
HD Hydro L,11.1,139.19
HD Hydro L,11.2,138.88
HD Hydro L,11.3,138.58
HD Hydro L,11.4,138.28
HD Hydro L,11.5,137.99
HD Hydro L,11.6,137.7
HD Hydro L,11.7,137.41
HD Hydro L,11.8,137.14
HD Hydro L,11.9,136.86
HD Hydro L,12.0,136.59
HD Hydro,0.1,4013.65
HD Hydro,0.2,2037.99
HD Hydro,0.3,1379.44
HD Hydro,0.4,1050.16
HD Hydro,0.5,852.6
HD Hydro,0.6,720.89
HD Hydro,0.7,626.81
HD Hydro,0.8,556.25
HD Hydro,0.9,501.37
HD Hydro,1.0,457.46
HD Hydro,1.1,421.54
HD Hydro,1.2,391.61
HD Hydro,1.3,366.28
HD Hydro,1.4,344.57
HD Hydro,1.5,325.75
HD Hydro,1.6,309.29
HD Hydro,1.7,294.76
HD Hydro,1.8,281.85
HD Hydro,1.9,270.3
HD Hydro,2.0,259.9
HD Hydro,2.1,250.49
HD Hydro,2.2,241.94
HD Hydro,2.3,234.13
HD Hydro,2.4,226.97
HD Hydro,2.5,220.39
HD Hydro,2.6,214.31
HD Hydro,2.7,208.68
HD Hydro,2.8,203.45
HD Hydro,2.9,198.58
HD Hydro,3.0,194.04
HD Hydro,3.1,189.79
HD Hydro,3.2,185.81
HD Hydro,3.3,182.07
HD Hydro,3.4,178.55
HD Hydro,3.5,175.23
HD Hydro,3.6,172.09
HD Hydro,3.7,169.12
HD Hydro,3.8,166.31
HD Hydro,3.9,163.65
HD Hydro,4.0,161.12
HD Hydro,4.1,158.71
HD Hydro,4.2,156.41
HD Hydro,4.3,154.22
HD Hydro,4.4,152.14
HD Hydro,4.5,150.14
HD Hydro,4.6,148.23
HD Hydro,4.7,146.4
HD Hydro,4.8,144.65
HD Hydro,4.9,142.97
HD Hydro,5.0,141.36
HD Hydro,5.1,139.81
HD Hydro,5.2,138.32
HD Hydro,5.3,136.89
HD Hydro,5.4,135.5
HD Hydro,5.5,134.17
HD Hydro,5.6,132.89
HD Hydro,5.7,131.65
HD Hydro,5.8,130.46
HD Hydro,5.9,129.3
HD Hydro,6.0,128.19
HD Hydro,6.1,127.11
HD Hydro,6.2,126.06
HD Hydro,6.3,125.05
HD Hydro,6.4,124.07
HD Hydro,6.5,123.12
HD Hydro,6.6,122.2
HD Hydro,6.7,121.31
