Technology,t,LCOS
HD Hydro,0.1,4061.905352646266
HD Hydro,0.2,2078.3501047928858
HD Hydro,0.3,1417.1650221750929
HD Hydro,0.4,1086.5724808661955
HD Hydro,0.5,888.2169560808574
HD Hydro,0.6,755.9799395572993
HD Hydro,0.7,661.5249277547571
HD Hydro,0.8,590.6836689028506
HD Hydro,0.9,535.5849120180349
HD Hydro,1.0,491.5059065101815
HD Hydro,1.1,455.44126564011987
HD Hydro,1.2,425.38739824840235
HD Hydro,1.3,399.9572027631026
HD Hydro,1.4,378.1598923471314
HD Hydro,1.5,359.268889986623
HD Hydro,1.6,342.73926292117807
HD Hydro,1.7,328.1542978634327
HD Hydro,1.8,315.1898844787702
HD Hydro,1.9,303.5901461872298
HD Hydro,2.0,293.15038172484356
HD Hydro,2.1,283.7048805445893
HD Hydro,2.2,275.1180612898128
HD Hydro,2.3,267.2779219702344
HD Hydro,2.4,260.091127593954
HD Hydro,2.5,253.479276767776
HD Hydro,2.6,247.37602985130405
HD Hydro,2.7,241.72487529901522
HD Hydro,2.8,236.4773746433185
HD Hydro,2.9,231.59177058456623
HD Hydro,3.0,227.0318734630643
HD Hydro,3.1,222.76616325262694
HD Hydro,3.2,218.76705993034187
HD Hydro,3.3,215.0103265063771
HD Hydro,3.4,211.47457740146913
HD Hydro,3.5,208.14087110255582
HD Hydro,3.6,204.99237070913793
HD Hydro,3.7,202.0140595261749
HD Hydro,3.8,199.1925015633677
HD Hydro,3.9,196.5156388807046
HD Hydro,4.0,193.9726193321746
HD Hydro,4.1,191.55364951771924
HD Hydro,4.2,189.24986874204745
HD Hydro,4.3,187.05324056059317
HD Hydro,4.4,184.9564591146592
HD Hydro,4.5,182.9528679552114
HD Hydro,4.6,181.03638945487006
HD Hydro,4.7,179.2014632311388
HD Hydro,4.8,177.44299226672982
HD Hydro,4.9,175.75629562739877
HD Hydro,5.0,174.1370668536408
HD Hydro,5.1,172.58133724748131
HD Hydro,5.2,171.08544339540484
HD Hydro,5.3,169.64599836793505
HD Hydro,5.4,168.25986611926044
HD Hydro,5.5,166.92413867962853
HD Hydro,5.6,165.63611579141207
HD Hydro,5.7,164.3932866887471
HD Hydro,5.8,163.19331376203593
HD Hydro,5.9,162.03401788368794
HD Hydro,6.0,160.91336520128496
HD Hydro,6.1,159.8294552297804
HD Hydro,6.2,158.78051009606625
HD Hydro,6.3,157.76486480786693
HD Hydro,6.4,156.78095843492372
HD Hydro,6.5,155.82732610422494
HD Hydro,6.6,154.90259172294137
HD Hydro,6.7,154.00546135303935
HD Hydro,6.8,153.1347171704874
HD Hydro,6.9,152.28921194974848
HD Hydro,7.0,151.46786402103072
HD Hydro,7.1,150.66965265368535
HD Hydro,7.2,149.8936138243218
HD Hydro,7.3,149.13883633274895
HD Hydro,7.4,148.40445823284028
HD Hydro,7.5,147.68966354892908
HD Hydro,7.6,146.99367925143665
HD Hydro,7.7,146.31577246816485
HD Hydro,7.8,145.65524791010515
HD Hydro,7.9,145.01144549275574
HD Hydro,8.0,144.3837381358401
HD Hydro,8.1,143.77152972600885
HD Hydro,8.2,143.17425322861243
HD Hydro,8.3,142.59136893597267
HD Hydro,8.4,142.0223628407765
HD Hydro,8.5,141.466745124291
HD Hydro,8.6,140.9240487500494
HD Hydro,8.7,140.39382815452586
HD Hydro,8.8,139.87565802708232
HD Hydro,8.9,139.36913217216585
HD Hydro,9.0,138.87386244735848
HD Hydro,9.1,138.38947777144804
HD Hydro,9.2,137.9156231971878
HD Hydro,9.3,137.45195904387938
HD Hydro,9.4,136.99816008532224
HD Hydro,9.5,136.55391478905042
HD Hydro,9.6,136.1189246031177
HD Hydro,9.7,135.69290328699802
HD Hydro,9.8,135.2755762834522
HD Hydro,9.9,134.86668012846278
HD Hydro,10.0,134.46596189657322
HD Hydro,10.1,134.07317867917646
HD Hydro,10.2,133.68809709349347
HD Hydro,10.3,133.3104928201538
HD Hydro,10.4,132.94015016745524
HD Hydro,10.5,132.57686166052235
HD Hydro,10.6,132.22042765372035
HD Hydro,10.7,131.87065596480244
HD Hydro,10.8,131.527361529383
HD Hydro,10.9,131.19036607443007
HD Hydro,11.0,130.85949780956707
HD Hydro,11.1,130.53459113506204
HD Hydro,11.2,130.21548636545884
HD Hydro,11.3,129.902029467884
HD Hydro,11.4,129.5940718141264
HD Hydro,11.5,129.2914699456514
HD Hydro,11.6,128.99408535077077
HD Hydro,11.7,128.70178425323857
HD Hydro,11.8,128.41443741159674
HD Hydro,11.9,128.131919928638
HD Hydro,12.0,127.85411107039529
PHES,0.1,3379.228075567808
PHES,0.2,1727.2158781122912
PHES,0.3,1176.545145627118
PHES,0.4,901.2097793845327
PHES,0.5,736.0085596389814
PHES,0.6,625.8744131419462
PHES,0.7,547.2071656440647
PHES,0.8,488.2067300206535
PHES,0.9,442.31750231355556
PHES,1.0,405.60612014787785
PHES,1.1,375.5695347395953
PHES,1.2,350.53904689936013
PHES,1.3,329.3594033422383
PHES,1.4,311.20542315041945
PHES,1.5,295.47197365084315
PHES,1.6,281.7052053387138
PHES,1.7,269.5580568280115
PHES,1.8,258.76059148516487
PHES,1.9,249.09970144156543
PHES,2.0,240.40490040232598
PHES,2.1,232.53817565253766
PHES,2.2,225.38660769818478
PHES,2.3,218.85691521812336
PHES,2.4,212.87136377806712
PHES,2.5,207.36465645321545
PHES,2.6,202.28154199950623
PHES,2.7,197.57495454236806
PHES,2.8,193.2045519035968
PHES,2.9,189.13555634336143
PHES,3.0,185.33782715380863
PHES,3.1,181.78511275067837
PHES,3.2,178.45444299774397
PHES,3.3,175.3256320177145
PHES,3.4,172.38086874239283
PHES,3.5,169.60437765423222
PHES,3.6,166.98213607096946
PHES,3.7,164.50163727599124
PHES,3.8,162.15169104916978
PHES,3.9,159.92225488526216
PHES,4.0,157.8042905295501
PHES,4.1,155.7896415082628
PHES,4.2,153.8709281546559
PHES,4.3,152.04145728261204
PHES,4.4,150.29514417747947
PHES,4.5,148.62644498813046
PHES,4.6,147.03029793744875
PHES,4.7,145.50207203786
PHES,4.8,144.03752221742062
PHES,4.9,142.6327499406728
PHES,5.0,141.28416855499478
PHES,5.1,139.98847271385313
PHES,5.2,138.7426113281402
PHES,5.3,137.54376357962386
PHES,5.4,136.38931759957111
PHES,5.5,135.2768514733383
PHES,5.6,134.2041162801855
PHES,5.7,133.16902091837122
PHES,5.8,132.16961850006777
PHES,5.9,131.2040941298425
PHES,6.0,130.2707539052914
PHES,6.1,129.3680149995781
PHES,6.2,128.49439670372624
PHES,6.3,127.64851232202861
PHES,6.4,126.82906182725907
PHES,6.5,126.034825193867
PHES,6.6,125.2646563372443
PHES,6.7,124.5174775957448
PHES,6.8,123.79227469958352
PHES,6.9,123.08809217722391
PHES,7.0,122.40402915550318
PHES,7.1,121.739235514676
PHES,7.2,121.09290836387179
PHES,7.3,120.46428880624028
PHES,7.4,119.85265896638266
PHES,7.5,119.25733925558795
PHES,7.6,118.67768585297195
PHES,7.7,118.11308838289148
PHES,7.8,117.56296777101814
PHES,7.9,117.02677426324294
PHES,8.0,116.50398559316214
PHES,8.1,115.99410528530542
PHES,8.2,115.49666108251847
PHES,8.3,115.01120348702761
PHES,8.4,114.537304405715
PHES,8.5,114.07455589102159
PHES,8.6,113.62256896969306
PHES,8.7,113.18097255230329
PHES,8.8,112.74941241712679
PHES,8.9,112.32755026251613
PHES,9.0,111.91506282245227
PHES,9.1,111.51164104041187
PHES,9.2,111.11698929711142
PHES,9.3,110.73082468807559
PHES,9.4,110.35287634731706
PHES,9.5,109.98288481373241
PHES,9.6,109.62060143709735
PHES,9.7,109.26578782080534
PHES,9.8,108.91821529872348
PHES,9.9,108.57766444375426
PHES,10.0,108.24392460588449
PHES,10.1,107.91679347767548
PHES,10.2,107.59607668531359
PHES,10.3,107.28158740348323
PHES,10.4,106.97314599245719
PHES,10.5,106.67057965592679
PHES,10.6,106.373722118199
PHES,10.7,106.08241331949404
PHES,10.8,105.79649912817264
PHES,10.9,105.51583106880202
PHES,11.0,105.2402660650562
PHES,11.1,104.96966619651316
PHES,11.2,104.70389846847982
PHES,11.3,104.44283459403991
PHES,11.4,104.18635078757269
PHES,11.5,103.93432756904402
PHES,11.6,103.68664957842094
PHES,11.7,103.44320539960347
PHES,11.8,103.20388739330835
PHES,11.9,102.9685915383795
PHES,12.0,102.7372172810328
CAES,0.1,4205.092367411425
CAES,0.2,2165.1662660679394
CAES,0.3,1485.1908989534445
CAES,0.4,1145.203215396197
CAES,0.5,941.2106052618485
CAES,0.6,805.2155318389496
CAES,0.7,708.0761936797359
CAES,0.8,635.2216900603257
CAES,0.9,578.5570761341179
CAES,1.0,533.2253849931517
CAES,1.1,496.13581951417916
CAES,1.2,465.22784828170205
CAES,1.3,439.07494954652924
CAES,1.4,416.65817920209525
CAES,1.5,397.2303115702525
CAES,1.6,380.2309273923901
CAES,1.7,365.2314707648647
CAES,1.8,351.89862042928627
CAES,1.9,339.96922802376884
CAES,2.0,329.23277485880317
CAES,2.1,319.51884104288195
CAES,2.2,310.68799211931685
CAES,2.3,302.62504310214894
